Mode,NLC,ASC,Station,Coverage,Source,count,type,day,year,Latitude,Longitude,Zone,Postcode
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,3893,Entries,Weekday (Mon-Fri),2017,51.49576554,-0.324747189,4,TW8 9LQ
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,2378,Entries,Saturday,2017,51.49576554,-0.324747189,4,TW8 9LQ
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,1724,Entries,Sunday,2017,51.49576554,-0.324747189,4,TW8 9LQ
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,3414,Exits,Weekday (Mon-Fri),2017,51.49576554,-0.324747189,4,TW8 9LQ
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,2094,Exits,Saturday,2017,51.49576554,-0.324747189,4,TW8 9LQ
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,1744,Exits,Sunday,2017,51.49576554,-0.324747189,4,TW8 9LQ
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,2170792.648,En/Ex,Annualised,2017,51.49576554,-0.324747189,4,TW8 9LQ
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,10509,Entries,Weekday (Mon-Fri),2017,51.60703192,-0.124177066,"3,4",N11 2EU
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,7995,Entries,Saturday,2017,51.60703192,-0.124177066,"3,4",N11 2EU
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,5470,Entries,Sunday,2017,51.60703192,-0.124177066,"3,4",N11 2EU
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,9196,Exits,Weekday (Mon-Fri),2017,51.60703192,-0.124177066,"3,4",N11 2EU
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,6878,Exits,Saturday,2017,51.60703192,-0.124177066,"3,4",N11 2EU
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,5232,Exits,Sunday,2017,51.60703192,-0.124177066,"3,4",N11 2EU
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,6057231.425,En/Ex,Annualised,2017,51.60703192,-0.124177066,"3,4",N11 2EU
LU,528,BWRu,Bow Road,Station entry / exit,Relate,9077,Entries,Weekday (Mon-Fri),2017,51.52704181,-0.024359591,2,E3 4DH
LU,528,BWRu,Bow Road,Station entry / exit,Relate,6612,Entries,Saturday,2017,51.52704181,-0.024359591,2,E3 4DH
LU,528,BWRu,Bow Road,Station entry / exit,Relate,4787,Entries,Sunday,2017,51.52704181,-0.024359591,2,E3 4DH
LU,528,BWRu,Bow Road,Station entry / exit,Relate,8487,Exits,Weekday (Mon-Fri),2017,51.52704181,-0.024359591,2,E3 4DH
LU,528,BWRu,Bow Road,Station entry / exit,Relate,5852,Exits,Saturday,2017,51.52704181,-0.024359591,2,E3 4DH
LU,528,BWRu,Bow Road,Station entry / exit,Relate,4801,Exits,Sunday,2017,51.52704181,-0.024359591,2,E3 4DH
LU,528,BWRu,Bow Road,Station entry / exit,Relate,5362773.015,En/Ex,Annualised,2017,51.52704181,-0.024359591,2,E3 4DH
LU,529,BTXu,Brent Cross,Station entry / exit,Relate,4080,Entries,Weekday (Mon-Fri),2017,51.57659922,-0.213335841,3,NW11 9UA
LU,529,BTXu,Brent Cross,Station entry / exit,Relate,2728,Entries,Saturday,2017,51.57659922,-0.213335841,3,NW11 9UA
LU,529,BTXu,Brent Cross,Station entry / exit,Relate,2290,Entries,Sunday,2017,51.57659922,-0.213335841,3,NW11 9UA
